container,interactivity level,delay,duration,num commands,num keystrokes,attacker_ip,time of log
DESKTOP-5AJRJA,non-interactive,1,,0,0,146.190.124.79,2024-10-25 03:36:03.828317
DESKTOP-4AJRJA,non-interactive,0,,0,0,45.148.10.240,2024-10-25 03:39:04.311640
DESKTOP-5AJRJA,non-interactive,10,,0,0,146.190.124.79,2024-10-25 03:41:03.881626
DESKTOP-4AJRJA,non-interactive,2,,0,0,45.148.10.240,2024-10-25 03:44:04.250466
DESKTOP-4AJRJA,non-interactive,30,,0,0,87.120.117.228,2024-10-25 03:46:03.744069
DESKTOP-4AJRJA,non-interactive,30,,0,0,45.148.10.240,2024-10-25 03:50:03.635417
DESKTOP-4AJRJA,non-interactive,1,,0,0,45.148.10.240,2024-10-25 03:55:03.940579
DESKTOP-4AJRJA,non-interactive,0,,0,0,45.148.10.240,2024-10-25 04:00:04.542352
DESKTOP-5AJRJA,interactive,30,,0,0,103.156.90.66,2024-10-25 04:05:03.475593
DESKTOP-4AJRJA,interactive,5,,0,0,45.148.10.240,2024-10-25 04:06:03.684340
DESKTOP-4AJRJA,non-interactive,10,,0,0,45.148.10.240,2024-10-25 04:11:04.233106
DESKTOP-4AJRJA,non-interactive,5,,0,0,45.148.10.240,2024-10-25 04:17:04.007128
DESKTOP-4AJRJA,non-interactive,30,,0,0,45.148.10.240,2024-10-25 04:22:04.818257
DESKTOP-5AJRJA,non-interactive,30,,0,0,178.62.80.95,2024-10-25 04:23:03.513601
DESKTOP-4AJRJA,non-interactive,30,,0,0,45.148.10.240,2024-10-25 04:28:04.438253
DESKTOP-5AJRJA,non-interactive,30,,0,0,178.62.80.95,2024-10-25 04:28:07.349698
DESKTOP-4AJRJA,interactive,5,,0,0,64.23.156.175,2024-10-25 04:31:03.859319
DESKTOP-4AJRJA,interactive,2,,0,0,,2024-10-25 04:32:03.916125
DESKTOP-5AJRJA,non-interactive,0,,0,0,178.62.80.95,2024-10-25 04:33:04.468142
DESKTOP-5AJRJA,non-interactive,2,,0,0,178.62.80.95,2024-10-25 04:38:04.228645
DESKTOP-4AJRJA,non-interactive,30,,0,0,45.148.10.240,2024-10-25 04:39:03.618470
DESKTOP-4AJRJA,interactive,5,,0,0,62.192.173.55,2024-10-25 04:41:04.433665
DESKTOP-5AJRJA,interactive,1,,0,0,203.12.201.27,2024-10-25 04:41:07.070515
DESKTOP-5AJRJA,non-interactive,1,,0,0,178.62.80.95,2024-10-25 04:43:03.934466
DESKTOP-4AJRJA,non-interactive,0,,0,0,45.148.10.240,2024-10-25 04:44:04.533240
DESKTOP-5AJRJA,non-interactive,2,,0,0,178.62.80.95,2024-10-25 04:48:03.813219
DESKTOP-4AJRJA,non-interactive,1,,0,0,45.148.10.240,2024-10-25 04:50:03.923795
DESKTOP-5AJRJA,non-interactive,5,,0,0,178.62.80.95,2024-10-25 04:53:03.537531
DESKTOP-4AJRJA,non-interactive,30,,0,0,45.148.10.240,2024-10-25 04:55:04.150507
DESKTOP-5AJRJA,non-interactive,1,,0,0,178.62.80.95,2024-10-25 04:58:04.355279
DESKTOP-4AJRJA,non-interactive,10,,0,0,45.148.10.240,2024-10-25 05:01:03.713260
DESKTOP-5AJRJA,non-interactive,2,,0,0,178.62.80.95,2024-10-25 05:03:03.939713
DESKTOP-4AJRJA,non-interactive,10,,0,0,45.148.10.240,2024-10-25 05:06:04.287701
DESKTOP-5AJRJA,non-interactive,5,,0,0,178.62.80.95,2024-10-25 05:08:04.193718
DESKTOP-4AJRJA,non-interactive,2,,0,0,45.148.10.240,2024-10-25 05:11:04.282534
DESKTOP-5AJRJA,non-interactive,30,,0,0,178.62.80.95,2024-10-25 05:13:03.671213
DESKTOP-4AJRJA,non-interactive,30,,0,0,45.148.10.240,2024-10-25 05:17:04.272174
DESKTOP-5AJRJA,non-interactive,2,,0,0,178.62.80.95,2024-10-25 05:18:03.910984
DESKTOP-4AJRJA,non-interactive,30,,0,0,45.148.10.240,2024-10-25 05:22:03.898511
DESKTOP-5AJRJA,non-interactive,2,,0,0,178.62.80.95,2024-10-25 05:23:04.257699
DESKTOP-5AJRJA,interactive,30,,0,0,,2024-10-25 05:24:03.590217
DESKTOP-4AJRJA,non-interactive,5,,0,0,45.148.10.240,2024-10-25 05:28:04.193522
DESKTOP-5AJRJA,non-interactive,0,,0,0,178.62.80.95,2024-10-25 05:28:07.081754
